check_id,passed,evidence_type,source_path,policy_boundary,paper_use,failure_action
run_component_zoff_input_default_zero,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Diagnostic Z Origin Offset stays off unless explicitly set.,Use to classify z-origin changes as experimental switches.,Restore the zOff input default to 0.0.
run_component_wall_model_input_default_none,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Diagnostic Wall Model stays at none unless explicitly changed.,Use to classify wall-model changes as experimental switches.,Restore the wallModel input default to none.
run_component_roughness_input_default_zero,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Diagnostic Roughness Length stays at zero unless explicitly changed.,Use to classify roughness changes as experimental switches.,Restore the z0Wall input default to 0.0.
run_component_inlet_turbulence_inputs_default_off,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Diagnostic inlet turbulence mode and scale stay off unless explicitly set.,Use to classify AF-k inlet turbulence as an experimental switch.,Restore inletT default to none and inletS default to 0.0.
run_component_residual_target_inputs_default_off,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Diagnostic residual-target mode and scale stay off unless explicitly set.,Use to classify C014/C016 residual-target controls as experimental switches.,Restore residT default to none and residS default to 0.0.
run_component_claim_gate_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Run Simulation exposes the formal accuracy claim boundary directly in Grasshopper.,Use to state that claim-boundary metadata is visible without opening the manifest JSON.,Restore the Claim Gate output and ClaimGateSummary helper.
manifest_blocks_z_plus_half_formal,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,Run manifests forbid diagnostic modes as formal official z=2 m substitutes.,Use to keep z_plus_half out of formal Case E validation claims.,Restore manifest fields blocking diagnostic modes as formal results.
manifest_formal_accuracy_gate_contract,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,Run manifests encode the formal v0.4.0 accuracy-gate contract and keep manifest-only claims blocked.,Use to state that software traceability encodes the release gate but does not satisfy it.,Restore formal_accuracy_gate contract fields in WriteRunManifest.
manifest_blocks_wall_roughness_formal_defaults,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,"Run manifests forbid wall-model, roughness, inlet-turbulence, and residual-target diagnostics from becoming default accuracy claims.",Use to state wall/roughness/inlet/residual-target follow-ups are limitations-only until official metrics improve.,Restore wall/roughness/inlet/residual-target claim-boundary fields in WriteRunManifest.
native_generator_formal_output_raw,True,newly_run,docs/experiments/casee/tools/generate_native_casee.py,Native Case E probe CSV keeps predicted_velocity_ratio as the raw formal result.,Use to trace official metrics to raw_trilinear output.,Keep predicted_velocity_ratio tied to raw_trilinear before diagnostic columns.
native_generator_diagnostic_modes_declared,True,newly_run,docs/experiments/casee/tools/generate_native_casee.py,Native diagnostic sampling modes are recorded as diagnostics.,Use to discuss probe-protocol sensitivity only.,Declare all diagnostic columns in the generator manifest.
casee_preset_formal_default_raw,True,newly_run,docs/experiments/casee/casee_preset.json,Case E preset formal validation mode is raw_trilinear.,Use to document preset-level protocol policy.,Reset sampling_modes.default_for_validation to raw_trilinear.
casee_preset_diagnostic_only_complete,True,newly_run,docs/experiments/casee/casee_preset.json,"Case E preset lists nearest_valid, fluid_weighted, vertical_valid_above, and z_plus_half as diagnostic-only.",Use to classify non-raw sampling modes as limitations diagnostics.,Move diagnostic sampling modes back under sampling_modes.diagnostic_only.
release_gate_formal_blocked,True,newly_run,docs/experiments/casee/results/release_gate.json,Formal v0.4.0 remains blocked while official z=2 m metrics fail.,Use to prevent accidental formal-release wording.,Do not promote defaults or release tags until release_gate.json passes.
failure_atlas_limitations_ready,True,newly_run,docs/experiments/casee/results/casee_failure_mode_atlas.json,Failure-mode atlas supports limitations/software-feedback discussion only.,Use to structure manuscript limitations.,Regenerate the failure-mode atlas with limitations-only claim readiness.
readme_declares_diagnostics_nonformal,True,newly_run,README.md,Repository documentation states diagnostic offsets and sampling modes are not formal validation.,Use to show documentation matches software policy.,Restore README language separating diagnostics from formal validation.
